model,policy,checkpoint,speaker,fold,uar_percent
cnn,C,last,1036,3,33.7962962962963
cnn,C,last,1037,3,54.629629629629626
cnn,C,last,1038,0,55.09259259259259
cnn,C,last,1039,4,46.2962962962963
cnn,C,last,1040,1,42.97138047138048
cnn,C,last,1041,1,43.98148148148149
cnn,C,last,1042,4,34.25925925925925
cnn,C,last,1043,4,51.85185185185185
cnn,C,last,1044,2,45.370370370370374
cnn,C,last,1045,0,45.37037037037038
cnn,C,last,1046,2,43.51851851851851
cnn,C,last,1047,1,52.77777777777778
cnn,C,last,1048,2,47.22222222222222
cnn,C,last,1049,3,50.0
cnn,C,last,1050,2,47.68518518518518
cnn,C,last,1051,3,57.40740740740741
cnn,C,last,1052,0,42.5925925925926
cnn,C,last,1053,0,52.31481481481481
cnn,C,last,1054,4,26.85185185185185
cnn,C,last,1055,1,42.129629629629626
cnn,C,last,1056,2,40.74074074074074
cnn,C,last,1057,1,40.74074074074074
cnn,C,last,1058,4,44.90740740740741
cnn,C,last,1059,2,31.481481481481485
cnn,C,last,1060,2,38.425925925925924
cnn,C,last,1061,0,45.37037037037036
cnn,C,last,1062,4,39.351851851851855
cnn,C,last,1063,2,56.01851851851851
cnn,C,last,1064,1,51.388888888888886
cnn,C,last,1065,1,52.31481481481482
cnn,C,last,1066,4,48.61111111111111
cnn,C,last,1067,4,37.96296296296296
cnn,C,last,1068,0,44.90740740740741
cnn,C,last,1069,4,36.111111111111114
cnn,C,last,1070,2,41.66666666666668
cnn,C,last,1071,2,38.88888888888889
cnn,C,last,1072,3,40.74074074074074
cnn,C,last,1073,4,39.351851851851855
cnn,C,last,1074,4,32.870370370370374
cnn,C,last,1075,1,33.7962962962963
cnn,C,last,1076,4,38.97306397306398
cnn,C,last,1077,3,37.96296296296296
cnn,C,last,1078,1,48.61111111111111
cnn,C,last,1079,2,36.574074074074076
cnn,C,last,1080,3,53.7037037037037
cnn,C,last,1081,2,50.925925925925924
cnn,C,last,1082,2,21.759259259259256
cnn,C,last,1083,2,44.90740740740741
cnn,C,last,1084,4,37.96296296296296
cnn,C,last,1085,0,53.24074074074074
cnn,C,last,1086,0,42.129629629629626
cnn,C,last,1087,0,29.62962962962963
cnn,C,last,1088,2,39.81481481481481
cnn,C,last,1089,0,47.68518518518518
cnn,C,last,1090,1,50.925925925925924
cnn,C,last,1091,1,37.5
ridge_wavlm,U,best,1001,1,24.074074074074076
ridge_wavlm,U,best,1002,3,27.02020202020202
ridge_wavlm,U,best,1003,4,30.555555555555554
ridge_wavlm,U,best,1004,1,29.166666666666668
ridge_wavlm,U,best,1005,1,29.629629629629633
ridge_wavlm,U,best,1006,3,32.32323232323233
ridge_wavlm,U,best,1007,2,26.388888888888886
ridge_wavlm,U,best,1008,2,22.72727272727273
ridge_wavlm,U,best,1009,3,30.808080808080806
ridge_wavlm,U,best,1010,0,28.703703703703706
ridge_wavlm,U,best,1011,0,36.57407407407407
ridge_wavlm,U,best,1012,3,27.314814814814813
ridge_wavlm,U,best,1013,0,26.136363636363637
ridge_wavlm,U,best,1014,3,27.314814814814813
ridge_wavlm,U,best,1015,3,25.0
ridge_wavlm,U,best,1016,4,24.074074074074076
ridge_wavlm,U,best,1017,1,21.59090909090909
ridge_wavlm,U,best,1018,1,27.31481481481482
ridge_wavlm,U,best,1019,0,27.272727272727277
ridge_wavlm,U,best,1020,0,29.166666666666668
ridge_wavlm,U,best,1021,3,21.296296296296294
ridge_wavlm,U,best,1022,1,30.555555555555554
ridge_wavlm,U,best,1023,3,28.240740740740737
ridge_wavlm,U,best,1024,2,31.944444444444443
ridge_wavlm,U,best,1025,0,28.7037037037037
ridge_wavlm,U,best,1026,4,28.240740740740744
ridge_wavlm,U,best,1027,3,30.092592592592595
ridge_wavlm,U,best,1028,1,24.074074074074076
ridge_wavlm,U,best,1029,1,26.38888888888889
ridge_wavlm,U,best,1030,0,29.166666666666668
ridge_wavlm,U,best,1031,2,24.537037037037038
ridge_wavlm,U,best,1032,0,28.7037037037037
ridge_wavlm,U,best,1033,3,27.777777777777782
ridge_wavlm,U,best,1034,0,25.0
ridge_wavlm,U,best,1035,4,32.870370370370374
ridge_wavlm,U,best,1036,3,22.68518518518518
ridge_wavlm,U,best,1037,3,30.09259259259259
ridge_wavlm,U,best,1038,0,31.94444444444444
ridge_wavlm,U,best,1039,4,30.555555555555554
ridge_wavlm,U,best,1040,1,32.407407407407405
ridge_wavlm,U,best,1041,1,25.0
ridge_wavlm,U,best,1042,4,27.777777777777775
ridge_wavlm,U,best,1043,4,26.851851851851848
ridge_wavlm,U,best,1044,2,29.166666666666668
ridge_wavlm,U,best,1045,0,29.166666666666668
ridge_wavlm,U,best,1046,2,25.462962962962962
ridge_wavlm,U,best,1047,1,31.48148148148148
ridge_wavlm,U,best,1048,2,31.944444444444443
ridge_wavlm,U,best,1049,3,27.777777777777775
ridge_wavlm,U,best,1050,2,34.25925925925926
ridge_wavlm,U,best,1051,3,30.092592592592595
ridge_wavlm,U,best,1052,0,35.18518518518518
ridge_wavlm,U,best,1053,0,26.38888888888889
ridge_wavlm,U,best,1054,4,30.09259259259259
ridge_wavlm,U,best,1055,1,31.944444444444443
ridge_wavlm,U,best,1056,2,27.314814814814813
ridge_wavlm,U,best,1057,1,23.61111111111111
ridge_wavlm,U,best,1058,4,25.925925925925927
ridge_wavlm,U,best,1059,2,26.38888888888889
ridge_wavlm,U,best,1060,2,24.537037037037038
ridge_wavlm,U,best,1061,0,31.48148148148148
ridge_wavlm,U,best,1062,4,26.85185185185185
ridge_wavlm,U,best,1063,2,25.925925925925927
ridge_wavlm,U,best,1064,1,29.16666666666667
ridge_wavlm,U,best,1065,1,24.074074074074073
ridge_wavlm,U,best,1066,4,27.314814814814813
ridge_wavlm,U,best,1067,4,23.611111111111104
ridge_wavlm,U,best,1068,0,32.40740740740741
ridge_wavlm,U,best,1069,4,26.388888888888886
ridge_wavlm,U,best,1070,2,27.777777777777775
ridge_wavlm,U,best,1071,2,31.944444444444446
ridge_wavlm,U,best,1072,3,29.166666666666668
ridge_wavlm,U,best,1073,4,27.777777777777782
ridge_wavlm,U,best,1074,4,24.074074074074076
ridge_wavlm,U,best,1075,1,31.94444444444444
ridge_wavlm,U,best,1076,4,27.73569023569023
ridge_wavlm,U,best,1077,3,22.685185185185187
ridge_wavlm,U,best,1078,1,27.31481481481482
ridge_wavlm,U,best,1079,2,31.018518518518523
ridge_wavlm,U,best,1080,3,34.72222222222222
ridge_wavlm,U,best,1081,2,30.09259259259259
ridge_wavlm,U,best,1082,2,23.611111111111114
ridge_wavlm,U,best,1083,2,26.85185185185185
ridge_wavlm,U,best,1084,4,28.703703703703706
ridge_wavlm,U,best,1085,0,31.018518518518523
ridge_wavlm,U,best,1086,0,27.31481481481481
ridge_wavlm,U,best,1087,0,24.537037037037038
ridge_wavlm,U,best,1088,2,33.7962962962963
ridge_wavlm,U,best,1089,0,32.870370370370374
ridge_wavlm,U,best,1090,1,27.31481481481481
ridge_wavlm,U,best,1091,1,28.703703703703706
ridge_wavlm,R,best,1001,1,25.462962962962962
ridge_wavlm,R,best,1002,3,27.651515151515152
ridge_wavlm,R,best,1003,4,26.388888888888886
ridge_wavlm,R,best,1004,1,29.62962962962963
ridge_wavlm,R,best,1005,1,25.925925925925927
ridge_wavlm,R,best,1006,3,27.146464646464647
ridge_wavlm,R,best,1007,2,26.85185185185185
ridge_wavlm,R,best,1008,2,29.29292929292929
ridge_wavlm,R,best,1009,3,24.74747474747475
ridge_wavlm,R,best,1010,0,29.62962962962963
ridge_wavlm,R,best,1011,0,31.944444444444443
ridge_wavlm,R,best,1012,3,29.166666666666668
ridge_wavlm,R,best,1013,0,32.02861952861953
ridge_wavlm,R,best,1014,3,27.777777777777782
ridge_wavlm,R,best,1015,3,20.37037037037037
ridge_wavlm,R,best,1016,4,28.240740740740744
ridge_wavlm,R,best,1017,1,23.190235690235692
ridge_wavlm,R,best,1018,1,28.703703703703706
ridge_wavlm,R,best,1019,0,20.70707070707071
ridge_wavlm,R,best,1020,0,31.481481481481485
ridge_wavlm,R,best,1021,3,26.388888888888886
ridge_wavlm,R,best,1022,1,30.555555555555554
ridge_wavlm,R,best,1023,3,29.62962962962963
ridge_wavlm,R,best,1024,2,31.944444444444446
ridge_wavlm,R,best,1025,0,27.777777777777782
ridge_wavlm,R,best,1026,4,28.703703703703706
ridge_wavlm,R,best,1027,3,26.851851851851848
ridge_wavlm,R,best,1028,1,25.925925925925927
ridge_wavlm,R,best,1029,1,26.38888888888889
ridge_wavlm,R,best,1030,0,29.62962962962963
ridge_wavlm,R,best,1031,2,25.925925925925924
ridge_wavlm,R,best,1032,0,22.685185185185187
ridge_wavlm,R,best,1033,3,33.7962962962963
ridge_wavlm,R,best,1034,0,24.074074074074073
ridge_wavlm,R,best,1035,4,27.314814814814813
ridge_wavlm,R,best,1036,3,23.148148148148152
ridge_wavlm,R,best,1037,3,34.72222222222222
ridge_wavlm,R,best,1038,0,34.25925925925926
ridge_wavlm,R,best,1039,4,31.481481481481485
ridge_wavlm,R,best,1040,1,24.915824915824917
ridge_wavlm,R,best,1041,1,27.777777777777782
ridge_wavlm,R,best,1042,4,24.074074074074076
ridge_wavlm,R,best,1043,4,27.314814814814813
ridge_wavlm,R,best,1044,2,29.62962962962963
ridge_wavlm,R,best,1045,0,30.555555555555554
ridge_wavlm,R,best,1046,2,30.092592592592595
ridge_wavlm,R,best,1047,1,32.40740740740741
ridge_wavlm,R,best,1048,2,26.85185185185185
ridge_wavlm,R,best,1049,3,34.25925925925926
ridge_wavlm,R,best,1050,2,33.333333333333336
ridge_wavlm,R,best,1051,3,30.092592592592595
ridge_wavlm,R,best,1052,0,30.555555555555554
ridge_wavlm,R,best,1053,0,27.31481481481482
ridge_wavlm,R,best,1054,4,27.314814814814813
ridge_wavlm,R,best,1055,1,26.38888888888889
ridge_wavlm,R,best,1056,2,32.40740740740741
ridge_wavlm,R,best,1057,1,20.37037037037037
ridge_wavlm,R,best,1058,4,30.092592592592595
ridge_wavlm,R,best,1059,2,27.314814814814813
ridge_wavlm,R,best,1060,2,25.0
ridge_wavlm,R,best,1061,0,34.72222222222222
ridge_wavlm,R,best,1062,4,25.925925925925924
ridge_wavlm,R,best,1063,2,31.944444444444443
ridge_wavlm,R,best,1064,1,30.555555555555554
ridge_wavlm,R,best,1065,1,25.925925925925924
ridge_wavlm,R,best,1066,4,26.85185185185185
ridge_wavlm,R,best,1067,4,19.907407407407405
ridge_wavlm,R,best,1068,0,32.407407407407405
ridge_wavlm,R,best,1069,4,25.0
ridge_wavlm,R,best,1070,2,26.388888888888886
ridge_wavlm,R,best,1071,2,28.703703703703706
ridge_wavlm,R,best,1072,3,31.01851851851852
ridge_wavlm,R,best,1073,4,26.38888888888889
ridge_wavlm,R,best,1074,4,28.703703703703706
ridge_wavlm,R,best,1075,1,31.944444444444446
ridge_wavlm,R,best,1076,4,28.45117845117845
ridge_wavlm,R,best,1077,3,24.537037037037038
ridge_wavlm,R,best,1078,1,28.240740740740737
ridge_wavlm,R,best,1079,2,27.777777777777775
ridge_wavlm,R,best,1080,3,35.648148148148145
ridge_wavlm,R,best,1081,2,31.48148148148148
ridge_wavlm,R,best,1082,2,26.85185185185185
ridge_wavlm,R,best,1083,2,25.462962962962965
ridge_wavlm,R,best,1084,4,30.09259259259259
ridge_wavlm,R,best,1085,0,31.01851851851852
ridge_wavlm,R,best,1086,0,26.85185185185185
ridge_wavlm,R,best,1087,0,28.240740740740744
ridge_wavlm,R,best,1088,2,35.18518518518518
ridge_wavlm,R,best,1089,0,30.09259259259259
ridge_wavlm,R,best,1090,1,25.925925925925924
ridge_wavlm,R,best,1091,1,24.074074074074073
ridge_wavlm,C,best,1001,1,23.14814814814815
ridge_wavlm,C,best,1002,3,31.01851851851852
ridge_wavlm,C,best,1003,4,29.166666666666668
ridge_wavlm,C,best,1004,1,26.388888888888886
ridge_wavlm,C,best,1005,1,27.314814814814813
ridge_wavlm,C,best,1006,3,22.306397306397304
ridge_wavlm,C,best,1007,2,24.074074074074073
ridge_wavlm,C,best,1008,2,25.75757575757576
ridge_wavlm,C,best,1009,3,23.23232323232323
ridge_wavlm,C,best,1010,0,31.018518518518523
ridge_wavlm,C,best,1011,0,31.481481481481485
ridge_wavlm,C,best,1012,3,29.166666666666668
ridge_wavlm,C,best,1013,0,31.228956228956232
ridge_wavlm,C,best,1014,3,26.38888888888889
ridge_wavlm,C,best,1015,3,23.14814814814815
ridge_wavlm,C,best,1016,4,30.092592592592595
ridge_wavlm,C,best,1017,1,26.683501683501685
ridge_wavlm,C,best,1018,1,30.09259259259259
ridge_wavlm,C,best,1019,0,27.77777777777777
ridge_wavlm,C,best,1020,0,30.09259259259259
ridge_wavlm,C,best,1021,3,26.388888888888886
ridge_wavlm,C,best,1022,1,32.40740740740741
ridge_wavlm,C,best,1023,3,27.314814814814813
ridge_wavlm,C,best,1024,2,26.38888888888889
ridge_wavlm,C,best,1025,0,24.074074074074076
ridge_wavlm,C,best,1026,4,33.7962962962963
ridge_wavlm,C,best,1027,3,23.61111111111111
ridge_wavlm,C,best,1028,1,27.777777777777775
ridge_wavlm,C,best,1029,1,23.61111111111111
ridge_wavlm,C,best,1030,0,27.777777777777782
