draw,fold,unit_id,speaker,seen,records,correct,uar_percent
1,1,dual_d01_f1_c3,1029,0,12,6,50.0
1,1,dual_d01_f1_c3,1030,0,12,9,75.0
1,1,dual_d01_f1_c3,1035,0,12,7,58.333333333333336
1,1,dual_d01_f1_c3,1043,0,12,6,50.0
1,1,dual_d01_f1_c3,1047,0,12,7,58.333333333333336
1,1,dual_d01_f1_c3,1048,0,12,3,25.0
1,1,dual_d01_f1_c3,1053,0,12,9,75.0
1,1,dual_d01_f1_c3,1054,0,12,5,41.666666666666664
1,1,dual_d01_f1_c3,1059,0,12,4,33.333333333333336
1,1,dual_d01_f1_c3,1063,0,12,6,50.0
1,1,dual_d01_f1_c3,1064,0,12,7,58.333333333333336
1,1,dual_d01_f1_c3,1065,0,12,5,41.666666666666664
1,1,dual_d01_f1_c3,1070,0,12,9,75.0
1,1,dual_d01_f1_c3,1071,0,12,3,25.0
1,1,dual_d01_f1_c3,1073,0,12,4,33.333333333333336
1,1,dual_d01_f1_c3,1075,0,12,5,41.666666666666664
1,1,dual_d01_f1_c3,1083,0,12,4,33.333333333333336
1,1,dual_d01_f1_c3,1091,0,12,5,41.666666666666664
1,2,dual_d01_f2_c3,1004,1,12,8,66.66666666666667
1,2,dual_d01_f2_c3,1007,1,12,8,66.66666666666667
1,2,dual_d01_f2_c3,1010,1,12,7,58.333333333333336
1,2,dual_d01_f2_c3,1023,1,12,6,50.0
1,2,dual_d01_f2_c3,1024,1,12,8,66.66666666666667
1,2,dual_d01_f2_c3,1026,1,12,6,50.0
1,2,dual_d01_f2_c3,1030,1,12,9,75.0
1,2,dual_d01_f2_c3,1032,1,12,7,58.333333333333336
1,2,dual_d01_f2_c3,1036,1,12,7,58.333333333333336
1,2,dual_d01_f2_c3,1039,1,12,9,75.0
1,2,dual_d01_f2_c3,1042,1,12,7,58.333333333333336
1,2,dual_d01_f2_c3,1058,1,12,6,50.0
1,2,dual_d01_f2_c3,1060,1,12,8,66.66666666666667
1,2,dual_d01_f2_c3,1066,1,12,6,50.0
1,2,dual_d01_f2_c3,1067,1,12,5,41.666666666666664
1,2,dual_d01_f2_c3,1069,1,12,7,58.333333333333336
1,2,dual_d01_f2_c3,1075,1,12,8,66.66666666666667
1,2,dual_d01_f2_c3,1078,1,12,10,83.33333333333333
1,2,dual_d01_f2_c3,1079,1,12,5,41.666666666666664
1,2,dual_d01_f2_c3,1081,1,12,7,58.333333333333336
1,2,dual_d01_f2_c3,1083,1,12,9,75.0
1,2,dual_d01_f2_c3,1084,1,12,6,50.0
1,2,dual_d01_f2_c3,1087,1,12,8,66.66666666666667
1,2,dual_d01_f2_c3,1089,1,12,8,66.66666666666667
1,2,dual_d01_f2_c3,1003,0,12,6,50.0
1,2,dual_d01_f2_c3,1011,0,12,5,41.666666666666664
1,2,dual_d01_f2_c3,1013,0,12,10,83.33333333333333
1,2,dual_d01_f2_c3,1014,0,12,9,75.0
1,2,dual_d01_f2_c3,1015,0,12,5,41.666666666666664
1,2,dual_d01_f2_c3,1020,0,12,7,58.333333333333336
1,2,dual_d01_f2_c3,1025,0,12,7,58.333333333333336
1,2,dual_d01_f2_c3,1029,0,12,5,41.666666666666664
1,2,dual_d01_f2_c3,1031,0,12,4,33.333333333333336
1,2,dual_d01_f2_c3,1033,0,12,9,75.0
1,2,dual_d01_f2_c3,1034,0,12,7,58.333333333333336
1,2,dual_d01_f2_c3,1041,0,12,6,50.0
1,2,dual_d01_f2_c3,1046,0,12,6,50.0
1,2,dual_d01_f2_c3,1047,0,12,8,66.66666666666667
1,2,dual_d01_f2_c3,1049,0,12,8,66.66666666666667
1,2,dual_d01_f2_c3,1050,0,12,5,41.666666666666664
1,2,dual_d01_f2_c3,1051,0,12,9,75.0
1,2,dual_d01_f2_c3,1054,0,12,5,41.666666666666664
1,2,dual_d01_f2_c3,1063,0,12,6,50.0
1,2,dual_d01_f2_c3,1080,0,12,7,58.333333333333336
1,2,dual_d01_f2_c3,1082,0,12,5,41.666666666666664
1,2,dual_d01_f2_c3,1088,0,12,6,50.0
1,2,dual_d01_f2_c3,1090,0,12,5,41.666666666666664
1,2,dual_d01_f2_c3,1091,0,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1003,1,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1010,1,12,7,58.333333333333336
1,3,dual_d01_f3_c3,1015,1,12,6,50.0
1,3,dual_d01_f3_c3,1017,1,12,2,16.666666666666668
1,3,dual_d01_f3_c3,1024,1,12,7,58.333333333333336
1,3,dual_d01_f3_c3,1029,1,12,6,50.0
1,3,dual_d01_f3_c3,1033,1,12,8,66.66666666666667
1,3,dual_d01_f3_c3,1034,1,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1037,1,12,9,75.0
1,3,dual_d01_f3_c3,1039,1,12,6,50.0
1,3,dual_d01_f3_c3,1041,1,12,4,33.333333333333336
1,3,dual_d01_f3_c3,1043,1,12,4,33.333333333333336
1,3,dual_d01_f3_c3,1048,1,12,4,33.333333333333336
1,3,dual_d01_f3_c3,1049,1,12,9,75.0
1,3,dual_d01_f3_c3,1052,1,12,6,50.0
1,3,dual_d01_f3_c3,1056,1,12,6,50.0
1,3,dual_d01_f3_c3,1060,1,12,4,33.333333333333336
1,3,dual_d01_f3_c3,1066,1,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1067,1,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1073,1,12,4,33.333333333333336
1,3,dual_d01_f3_c3,1077,1,12,6,50.0
1,3,dual_d01_f3_c3,1078,1,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1080,1,12,7,58.333333333333336
1,3,dual_d01_f3_c3,1083,1,12,9,75.0
1,3,dual_d01_f3_c3,1004,0,12,7,58.333333333333336
1,3,dual_d01_f3_c3,1007,0,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1012,0,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1014,0,12,8,66.66666666666667
1,3,dual_d01_f3_c3,1021,0,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1026,0,12,6,50.0
1,3,dual_d01_f3_c3,1030,0,12,9,75.0
1,3,dual_d01_f3_c3,1031,0,12,3,25.0
1,3,dual_d01_f3_c3,1038,0,12,7,58.333333333333336
1,3,dual_d01_f3_c3,1044,0,12,6,50.0
1,3,dual_d01_f3_c3,1045,0,12,3,25.0
1,3,dual_d01_f3_c3,1047,0,12,8,66.66666666666667
1,3,dual_d01_f3_c3,1050,0,12,9,75.0
1,3,dual_d01_f3_c3,1051,0,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1061,0,12,7,58.333333333333336
1,3,dual_d01_f3_c3,1063,0,12,8,66.66666666666667
1,3,dual_d01_f3_c3,1064,0,12,6,50.0
1,3,dual_d01_f3_c3,1070,0,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1072,0,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1074,0,12,6,50.0
1,3,dual_d01_f3_c3,1075,0,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1084,0,12,5,41.666666666666664
1,3,dual_d01_f3_c3,1085,0,12,7,58.333333333333336
1,3,dual_d01_f3_c3,1086,0,12,7,58.333333333333336
1,4,dual_d01_f4_c3,1005,1,12,7,58.333333333333336
1,4,dual_d01_f4_c3,1007,1,12,7,58.333333333333336
1,4,dual_d01_f4_c3,1008,1,12,7,58.333333333333336
1,4,dual_d01_f4_c3,1010,1,12,6,50.0
1,4,dual_d01_f4_c3,1026,1,12,8,66.66666666666667
1,4,dual_d01_f4_c3,1029,1,12,6,50.0
1,4,dual_d01_f4_c3,1035,1,12,5,41.666666666666664
1,4,dual_d01_f4_c3,1037,1,12,6,50.0
